tic,Gsector,Gind,Gsubind
GIS,30,302020,30202030
GM,25,251020,25102010
EDS.,45,451020,45102020
GPU.,55,551010,55101010
GRN.1,40,403010,40301040
SPXC,20,201060,20106020
GCO,25,255040,25504010
GPC,25,255010,25501010
GP.1,15,151050,15105020
GEB.1,30,302020,30202030
GFS.A,30,301010,30101030
G.1,30,303020,30302010
MIR.1,25,253010,25301010
GDW,40,401020,40102010
GR,20,201010,20101010
GT,25,251010,25101020
GRA,15,151010,15101050
GWW,20,201070,20107010
GAPTQ,30,301010,30101030
GLK.1,15,151010,15101050
GWF.,40,401010,40101010
3CNCEQ1,40,402010,40201010
MGI,45,451020,45102020
GQ.1,20,201010,20101010
PCI.3,20,201050,20105010
HAL,10,101010,10101020
HDLM,25,255010,25501010
JH,20,202010,20201010
HRS,20,201010,20101010
SNC.1,40,401010,40101010
HTMXQ,25,252030,25203010
HAS,25,252020,25202010
WELL,60,601010,60101050
KHC,30,302020,30202030
HP,10,101010,10101010
HPC,15,151010,15101020
HSY,30,302020,30202030
HPQ,45,452020,45202030
HLT,25,253010,25301020
HFC,10,101020,10102030
HM,15,151040,15104030
HON.Z,20,201040,20104010
HRL,30,302020,30202030
HOT,25,253010,25301020
HBC1,40,402020,40202010
CNP,55,551030,55103010
GHC.1,35,351020,35102020
HBAN,40,401010,40101015
PAS,30,302010,30201030
ITT,20,201060,20106020
ITW,20,201060,20106020
INCLF,15,151040,15104020
IR,20,201060,20106020
RYI,15,151040,15104050
INTC,45,453010,45301020
FBNIQ,25,252010,25201020
IK,20,201060,20106020
IBM,45,451020,45102010
IFF,15,151010,15101050
NAV,20,201060,20106010
MKG,35,351010,35101010
IP,15,151030,15103020
ENRNQ,55,551050,55105010
IPG,25,254010,25401010
JEC,20,201030,20103010
EME,20,201030,20103010
FJ,30,303010,30301010
JP.1,40,403010,40301020
JNJ,35,352020,35202010
JCI,20,201020,20102010
JOSEA,25,252030,25203010
KLAC,45,453010,45301010
KMI,10,101020,10102040
KSU,20,203040,20304010
EVRG,55,551010,55101010
K,30,302020,30202030
KMG.1,10,101020,10102020
KMB,30,303010,30301010
KWP,25,254010,25401030
KRI,25,254010,25401040
KR,30,301010,30101030
LSI.1,45,453010,45301020
LI.3,20,203040,20304020
LRCX,45,453010,45301010
LEG,25,252010,25201020
LM,40,402030,40203010
JEF,40,402010,40201030
ANV.1,20,201060,20106020
LLY,35,352020,35202010
LINB,50,501010,50101020
LNC,40,403010,40301020
LIT.1,20,201010,20101010
KATE,25,252030,25203010
LMT,20,201010,20101010
L,40,403010,40301030
RRC,10,101020,10102020
LCE,15,151020,15102010
KSE,55,551030,55103010
LOR.2,20,201010,20101010
LOTS.,45,451030,45103010
LLX.,10,101020,10102020
LPX,15,151050,15105010
LOW,25,255040,25504030
LUB,25,253010,25301040
MCIC.,50,501010,50101020
MTW,20,201060,20106010
MNR.1,35,351020,35102020
MRO,10,101020,10102020
MMC,40,403010,40301010
MI.1,40,401010,40101015
ML.3,20,201010,20101010
MAS,20,201020,20102010
VAT,25,251010,25101010
MAT,25,252020,25202010
MAY.2,25,255030,25503010
MYG.1,25,252010,25201040
MKC,30,302020,30202030
MDR,10,101010,10101020
MCD,25,253010,25301040
MD.1,20,201010,20101010
SPGI,40,402030,40203040
MCK,35,351020,35102010
MEA.1,15,151050,15105020
MHS,35,351020,35102015
MDT,35,351010,35101010
MEL.3,40,402030,40203010
CVS,35,351020,35102015
MTL.3,40,401010,40101010
MST.,25,255030,25503010
MRK,35,352020,35202010
MDP,25,254010,25401040
BAC2,40,402030,40203020
MU,45,453010,45301020
ETR,55,551010,55101010
MIL.2,35,352030,35203010
MMM,20,201050,20105010
MOB.2,10,101020,10102010
MOLX,45,452030,45203020
GWOW,20,201060,20106020
PHA.1,35,352020,35202010
MWI,20,202010,20201060
JPM.Z,40,402010,40201020
3MRNKQ,20,201030,20103010
MSI,45,452010,45201020
MUR,10,101020,10102020
MYL,35,352020,35202010
BAC,40,401010,40101010
NCR,45,452020,45202030
FCN.1,40,401010,40101010
NL,20,202010,20201060
NLC.2,15,151010,15101020
NCC,40,401010,40101015
CUE.1,15,151010,15101010
AVATQ,40,402010,40201030
THC,35,351020,35102020
NSM.2,45,453010,45301020
NSI.1,20,202010,20201030
NYT,25,254010,25401040
NWL,25,252010,25201050
NEM,15,151040,15104030
NMK,55,551010,55101010
GAS.2,55,551020,55102010
NBL,10,101020,10102020
JWN,25,255030,25503010
NSC,20,203040,20304010
NC,10,101020,10102050
ES,55,551010,55101010
NI,55,551030,55103010
XEL,55,551010,55101010
NRTLQ,45,452010,45201020
NTRS,40,402030,40203010
NOC,20,201010,20101010
TEX,20,201060,20106010
WFC,40,401010,40101010
NUE,15,151040,15104050
NYN,50,501010,50101020
OXY,10,101020,10102010
CVGYQ,55,551050,55105010
FE,55,551010,55101010
OK.2,40,401010,40101010
OKE,10,101020,10102040
GOSHA,25,252030,25203010
9975B,25,252020,25202010
OC,20,201020,20102010
OI,15,151030,15103010
PNC,40,401010,40101015
PPG,15,151010,15101050
PCAR,20,201060,20106010
PCG,55,551010,55101010
SRE,55,551030,55103010
PAC.2,50,501010,50101020
MEC2,55,551010,55101010
PWJ.,40,402010,40201020
3PNAA.,20,203020,20302010
PEL.1,55,551020,55102010
PH,20,201060,20106020
JCP,25,255030,25503010
PPL,55,551010,55101010
PNR,20,201060,20106020
PZE.1,10,101020,10102010
PGL.1,55,551020,55102010
PBY,25,255040,25504050
PEP,30,302010,30201030
ABI.3,35,352030,35203010
PFE,35,352020,35202010
EXC,55,551010,55101010
MO,30,302030,30203010
PHL.1,20,201020,20102010
COP,10,101020,10102020
PVH,25,252030,25203010
PHB.1,30,302020,30202010
PBI,20,202010,20201060
PZSM.CM,20,203010,20301010
PDG,15,151040,15104030
PRDCQ,25,252020,25202020
PCH,60,601010,60101080
POM,55,551010,55101010
PCP,20,201010,20101010
PDQ.2,25,253010,25301020
PG,30,303010,30301010
