Date,eps,sps,prof_mar,lgro,roic,ninc,gmar,cfo,cf,sg,fpe,fpb,pe,pb,mom,cfni,art,ar,goodwill,leve,tar,rc,inv_turn,spread,quick,a_turn
5/31/2010,0.046503687,0.036889886,0.026969661,-0.047901336,0.02244552,-0.016955921,0.120086809,-0.016486144,0.099846898,0.017436336,0.026986838,0.079127057,-0.131952144,0.043871488,0.042066972,0.033754022,0.006734302,0.006734302,-0.003874407,0.03225691,-0.104479683,-0.073104649,0.034868062,,0.003079899,0.104632779
6/30/2010,0.153730068,-1.85E-05,0.131615638,-0.071664208,0.137090702,-0.034716307,0.154169042,0.001497861,0.0808831,-0.04634818,0.046716408,-0.01685721,-0.225208409,0.13123464,-0.143169202,-0.012590289,-0.090901108,-0.090901108,0.01280967,0.055090279,-0.031303295,-0.01335723,-0.003183711,,-0.022841957,-0.0841111
7/31/2010,-0.03211245,-0.141230767,-0.056013626,0.051923572,-0.094309228,0.106007556,-0.000726749,-0.039873976,-0.028482802,0.060963995,0.042695707,-0.050747856,0.08036588,-0.03727626,-0.045496766,0.062868693,-0.050089415,-0.050089415,-0.077744917,0.115156587,-0.029402201,0.073163168,-0.030925285,,-0.015089907,-0.123740857
8/31/2010,0.026749581,0.102687116,0.070347415,-0.101163189,0.052270123,-0.039053513,0.227629928,0.006179425,0.020999618,-0.032939286,0.046501099,0.081310992,0.013871636,-0.055573396,0.121797855,-0.039583058,0.018612278,0.018612278,0.061069606,0.070832336,-0.02016191,-0.009733259,-0.177619889,,-0.037966667,-0.07208978
9/30/2010,0.104906189,0.115176023,-0.087476998,0.226885469,0.101085671,0.047728993,0.029517295,0.025606538,-0.003985984,0.131697798,-0.045821645,-0.031556749,-0.111852041,-0.088808054,-0.182940634,0.02939057,0.006270284,0.006270284,0.010472163,-0.177079302,0.107545794,0.131270058,0.10103832,,0.214662613,0.229706382
10/31/2010,0.090090859,0.158066048,0.108994873,0.127996014,0.016179339,-0.018126786,0.046208825,0.104955561,-0.04356835,0.101613188,0.092739244,-0.004775512,-0.012980608,-0.043653274,0.033250237,-0.11042746,-0.048457112,-0.048457112,0.082962731,-0.017352221,0.06236997,0.08832875,-0.052608737,,0.061359529,-0.050059435
11/30/2010,0.030624062,0.136554457,0.002502109,0.207946078,0.020810545,-0.046722288,-0.018736037,-0.007779302,-0.017764674,0.094170608,-0.033316599,0.088471755,0.053160802,-0.110273572,0.025129995,0.049194075,0.060330143,0.060330143,-0.067079755,-0.090320502,0.047770332,0.065463146,-0.074859716,,0.058084694,0.177291725
12/31/2010,-0.262865698,-0.283690552,-0.11649759,0.012350226,-0.216175541,0.030232313,-0.234396726,-0.107565085,0.038788533,-0.009192505,-0.126160128,-0.05246576,0.196708955,-0.017636666,-0.344182907,0.098710768,-0.028614285,-0.028614285,-0.051743893,-0.012041056,-0.013328405,0.002801925,0.016704923,,-0.134798704,-0.133662777
1/31/2011,4.47E-05,0.018601028,0.007788793,0.110253192,0.046904335,-0.03072027,-0.073770844,0.025946341,0.119305854,0.090570493,-0.035420892,0.016765578,0.081444586,-0.070769814,-0.088639749,-0.045156267,-0.043960186,-0.043960186,-0.038154065,-0.036406064,0.073361941,0.042136722,0.044440874,,0.128788199,-0.059700134
2/28/2011,0.083686382,0.063536722,-0.062890614,0.055227371,-0.0264595,-0.017055868,-0.027675382,0.027866971,-0.015282443,0.033545335,-0.06688528,-0.050765811,0.037516377,0.134923212,0.102734345,0.043830639,0.056921496,0.056921496,-0.01232036,-0.02002684,0.020670797,0.065039284,-0.004296874,,-0.001023632,0.060613719
