Date,eps,eps,sps,sps,prof_mar,prof_mar,roic,roic,ninc,ninc,cfo,cfo,cf,cf,sg,sg,mom,mom,pe,pe,pb,pb
1997/3/31,-0.12377969,-0.01882011,0.002100174,0.032599273,0.005611112,0.15598481,-0.066864824,0.092010706,-0.144864747,0.036477672,0.08407289,-0.160325105,-0.045034911,-0.025755936,-0.218488767,-0.066661704,-0.319789177,-0.067165733,-0.034921028,0.170965964,-0.133580122,0.073463789
1997/4/30,0.055005261,0.026285877,-0.082392903,0.028011812,0.008246102,0.052840037,-0.289802059,-0.210279969,0.081143761,-0.032372002,-0.003314859,0.312575581,0.112438611,0.114932167,-0.123988633,-0.151572105,0.170637764,0.164594617,0.017962687,-0.117190431,-0.170624808,-0.116758631
1997/5/30,0.22776607,0.370079232,0.158173602,0.341857027,0.075616806,0.080746975,0.163274574,0.279724506,0.010523114,-0.090158956,0.074386994,0.240965202,0.111499688,-0.103107083,0.192161244,0.142673212,-0.2258462,0.088333378,-0.032897434,0.333832872,0.208175924,0.169695598
1997/6/30,0.210808952,-0.207605464,0.065749065,0.016224636,0.261902509,0.23603078,-0.103600999,-0.029438594,0.253049926,0.102594391,0.255041114,-0.11515078,0.08582791,0.185153051,0.159400783,0.163068322,-0.011965544,0.118693485,-0.270599253,-0.074855439,0.005224661,-0.192215147
1997/7/31,0.031352466,0.472747743,-0.047019721,0.076602167,-0.186310996,-0.022148903,0.041647317,0.101175248,0.00413704,-0.108611165,-0.033973891,0.214901394,0.32759429,0.069607259,-0.100837294,-0.06685845,-0.079923114,-0.122179094,0.233093,-0.055650273,0.053762516,0.061354181
1997/8/29,-0.039498624,-0.203915879,0.01204703,-0.290145647,-0.053337066,-0.082365002,-0.076973339,-0.179697176,-0.045648968,-0.103669158,-0.141540177,-0.075028828,-0.091823161,0.063170623,0.048486495,-0.003844937,0.155548266,-0.089114583,-0.12555427,0.025171842,-0.125195896,-0.089474687
1997/9/30,0.108087591,0.092692019,-0.068129033,0.088623195,-0.01434078,0.178595891,0.030053541,0.228269392,0.036261247,-0.184227849,0.163065694,-0.0358426,-0.030007707,-0.024332677,-0.047950899,-0.147411126,-0.011399063,0.099454607,0.106701964,0.203446184,-0.120835634,0.148847872
1997/10/31,-0.095150376,-0.209408538,0.031104838,-0.299015141,-0.125498993,0.272794313,-0.077952325,-0.068463406,-0.307174821,-0.037259999,-0.104167759,-0.081777925,-0.164327541,0.109976678,-0.083546144,-0.281807023,0.084812872,-0.260292001,-0.099956641,-0.301864291,-0.025877119,-0.156693799
1997/11/28,-0.098658886,-0.012948093,-0.119251138,-0.250021394,-0.08628088,-0.148634015,-0.001892162,-0.246498122,-0.068466509,-0.014670318,0.053770548,-0.047636734,0.190212333,-0.076667595,-0.072909945,-0.129824404,0.139851157,-0.207715146,0.035349847,-0.054233411,-0.152964975,-0.108959885
1998/1/30,0.08882311,0.093869566,-0.047332711,0.230376216,-0.042919677,0.321998465,-0.025518513,0.19319273,0.181426158,0.201272857,-0.013536089,0.24369303,0.283471781,-0.04114197,-0.091380345,0.044123668,0.285697661,0.315327469,-0.240780757,0.235774659,-0.054099055,0.300932817
1998/2/27,0.065689063,0.074249506,-0.15620788,0.243139405,-0.120366653,-0.13275519,-0.139505851,0.174442164,-0.407688962,-0.087218132,0.058692886,-0.078192112,-0.158886797,-0.076506719,0.118169517,0.113449296,-0.184474537,-0.183086483,0.002286696,0.004224702,0.086304682,-0.045292115
1998/3/31,0.140909398,-0.017830375,0.069418507,-0.075280334,0.031181942,-0.173231664,0.068555307,-0.007372548,0.013538374,-0.093408956,-0.004526177,-0.027509255,0.097354963,-0.091176969,-0.059701617,-0.093319838,0.08180269,0.054173326,-0.136498667,0.036921841,-0.142311744,0.081339621
1998/4/30,0.174285007,0.349532059,-0.088489346,0.327040125,-0.03115454,0.055506383,0.078261091,0.00683687,0.025796651,0.307178981,0.127641064,0.196113827,0.045262659,0.179202589,-0.117542009,0.195018568,-0.079233676,0.155514812,0.013766428,0.033148427,0.011114731,-0.041309266
1998/5/29,0.002305645,0.299387229,-0.20665884,0.049557966,-0.058405501,-0.119501775,-0.100252275,-0.095112393,0.004233169,-0.024090554,0.017469501,0.006433592,0.086441444,0.054220234,-0.045182427,-0.031292918,0.077774069,-0.081342948,0.065369818,-0.063208398,0.03082047,-0.225032805
1998/6/30,0.110864007,-0.053760012,0.109251491,0.01835319,0.110018292,-0.186417142,-0.086776735,-0.20815373,-0.031191824,0.064019764,0.054596243,0.234592609,0.007052365,0.356542314,-0.023779388,-0.027869511,0.17251648,-0.084895943,0.11729344,-0.010352864,-0.050233086,-0.096124552
1998/7/31,0.025817926,-0.263381055,-0.061206535,-0.00159135,0.057159656,-0.008665357,0.041689486,0.114499319,-0.042438768,-0.038643797,0.178079533,-0.052779804,-0.180107778,-0.127006412,0.061788457,0.22362959,-0.12117512,-0.225547506,-0.296349666,0.008030741,0.040797259,0.262258691
1998/8/31,-0.027339251,-0.251638387,-0.114426322,-0.128067602,-0.093588677,0.091125457,-0.002694335,-0.02735911,0.171317882,-0.161019659,-0.030809631,-0.127358742,-0.097026573,-0.022861074,-0.085447537,0.002613884,0.019431205,-0.346033797,-0.239816753,-0.06219192,0.012263699,0.029564458
1998/9/30,-0.069057702,-0.164012473,-0.169117532,-0.183315851,0.025417195,0.083849481,-0.047017705,-0.079870462,-0.115753388,-0.018003677,0.130656126,-0.295272301,0.015306675,-0.129316426,0.05972162,-0.127995095,0.124441649,-0.071704497,-0.158794253,-0.170010988,-0.007095611,-0.05685973
1998/10/30,-0.018859982,0.232200473,-0.217595581,0.292707074,-0.160793372,0.006142641,-0.018075503,0.222467611,0.119748634,-0.182087175,-0.041882431,0.225722952,0.089333087,0.205487104,0.000896494,-0.025457074,-0.023102552,-0.086142465,0.083497117,0.137946506,0.045613765,0.113826753
1998/11/30,0.008774367,0.206626919,0.061231137,0.101241132,0.006553936,0.003142223,0.061262922,-0.062876813,-0.000349804,-0.047034933,0.166598185,0.161012355,0.226474212,0.110830867,-0.007779901,0.039679387,0.00647921,-0.081116756,-0.101939816,-0.059905905,-0.074116831,-0.17907877
1999/1/29,-0.132351326,-0.103083022,-0.307079787,-0.135167841,-0.06951167,-0.0651507,0.058504819,-0.128163419,-0.025854151,0.178375325,-0.083613862,-0.013113824,-0.307772553,-0.068458387,-0.099973112,-0.008187556,-0.068163523,-0.012922796,0.050209905,0.069292133,-0.073116167,0.057641131
1999/2/26,0.235296997,0.025307178,0.197477689,0.112230807,0.138552612,0.091023214,0.227379962,-0.046280732,0.28220837,0.026886277,-0.027512978,0.044362359,-0.115017589,0.065793646,0.040639454,0.058881658,-0.129506176,-0.01316326,-0.043047313,0.101344947,-0.015474228,0.021847282
1999/3/31,-0.136700646,0.02848938,-0.057095951,-0.134701828,-0.006840835,0.009462943,-0.108345372,-0.031391479,-0.247433954,0.207947901,-0.157142778,-0.068617134,0.219854893,0.024447483,0.085930532,-0.113036997,0.208470638,0.302710584,-0.188503932,-0.095613213,-0.064771872,0.009750775
1999/4/30,-0.247730389,0.165520569,-0.120959808,0.353153751,-0.011940872,-0.014384572,0.047230381,0.219172393,0.078844069,0.051519963,-0.395577635,0.224453527,-0.144615492,0.064903357,-0.09853447,0.056336866,0.388428177,0.296666305,0.040910499,0.159453011,-0.01460494,0.246431821
1999/5/28,-0.075939741,0.05835181,-0.207612613,0.136582192,-0.034245059,0.326387286,-0.165843466,0.182231862,0.034261791,0.050858515,-0.242688361,0.209752525,-0.160711052,-0.015008287,-0.075053151,0.136718923,0.118403772,0.210182483,-0.018571771,-0.058664849,-0.27775824,0.095151134
1999/6/30,0.011038274,-0.082315051,-0.0428536,-0.131215714,0.058677455,-0.035731639,-0.103584759,0.056866472,-0.011905879,-0.01367913,-0.046205172,0.076244626,-0.057117811,0.056619891,-0.107187523,-0.033806606,0.09488919,-0.267630689,-0.004908544,-0.104274601,-0.054736842,0.10258
1999/7/30,-0.061544647,0.221023266,-0.131408619,0.2553136,0.055331853,0.054815251,0.004832028,0.32583901,0.115947628,0.090515303,-0.01643404,0.12405677,-0.017457545,-0.103860652,0.040320807,0.128936514,-0.164834646,-0.117107236,0.187933354,0.058055247,-0.205794253,0.007775528
1999/8/31,0.057658956,0.147265407,0.311249714,-0.004113195,0.052797718,-0.199684069,0.068155347,-0.312137216,0.019738291,-0.001743688,0.07930083,0.143048241,0.05624297,-0.043845299,0.044216581,-0.106079253,-0.451435658,-0.34271876,-0.072224241,-0.169068013,-0.020236091,-0.145923825
1999/9/30,-0.118221726,0.118442637,0.038208431,0.27098166,0.064689978,0.054784604,0.144049268,0.08511387,0.070788241,0.11377538,0.109336121,0.267508277,0.084073859,0.018300071,0.130163032,0.091385574,-0.135824048,0.081325902,0.063909972,0.111015173,0.049632839,0.134201388
1999/10/29,0.024251377,0.448401685,0.079447674,0.422033726,0.100993014,0.155881099,0.051443433,0.095476788,0.019965384,0.2690776,-0.03584413,0.305762534,-0.057578163,0.00191271,0.122880127,0.265404293,0.259098638,0.437938426,-0.105194447,0.278290402,-0.066262854,0.179474074
1999/11/30,-0.080211391,0.147391945,-0.201635794,0.396064147,0.066146968,-0.104953022,0.071122445,0.094745097,0.065908473,-0.032016981,0.116457902,0.202714703,-0.199136677,0.099311985,-0.020606239,-0.002103733,0.025133962,0.419633053,0.035278493,0.338290096,-0.095750404,0.077461994
2000/1/31,0.103765949,-0.124400644,-0.034954027,-0.118785166,-0.011288595,-0.104489926,-0.012860542,-0.121460912,-0.018287757,0.000408377,0.098938004,-0.242534556,0.036291098,0.034721861,-0.100374409,-0.02439998,-0.190450857,-0.215307911,0.149483675,-0.140680182,-0.010441379,-0.202997003
2000/2/29,-0.130793517,0.220738559,-0.045812659,0.14325888,-0.179416464,0.033108813,-0.115886975,-0.052106014,-0.173248962,-0.016484706,0.045600635,0.161530164,-0.023461556,0.060608209,-0.223482224,-0.021676701,-0.156810588,0.259740147,0.120804529,0.259738347,0.031297137,0.103920289
2000/3/31,0.069556622,0.033668922,-0.114215264,-0.135085514,0.091035033,-0.187401708,-0.150362104,-0.226535271,-0.057513276,-0.003182207,-0.058611604,-0.040182187,0.103179464,-0.023103204,-0.150316842,0.016001837,-0.201203409,-0.254287951,0.096367334,-0.339742487,-0.160701333,-0.394924045
2000/4/28,0.185724435,0.026991183,0.153522314,-0.055236004,0.397293202,-0.034412048,0.153960053,-0.022087007,0.13782662,-0.07843252,-0.004976905,-0.216466228,0.236572143,0.036676111,0.096853683,0.043856492,-0.10370156,-0.166473257,-0.196151339,-0.055368791,-0.057348114,-0.021216313
2000/5/31,-0.028879233,0.152617711,-0.276783666,0.359007351,-0.207642258,-0.14440686,-0.026297698,0.15005447,0.018327047,0.234377983,-0.145724656,0.2120081,-0.083729061,0.098811092,-0.135316444,-0.008923685,0.052291325,0.119902804,0.208441707,0.240869815,0.181212769,0.156993444
2000/6/30,0.10195671,0.085913456,0.011474711,0.095064927,0.368386384,0.047013046,0.097949619,0.079274038,0.213006016,-0.043157573,-0.035254047,0.056058158,0.027484265,0.039236364,0.079153424,0.079862739,0.031508933,0.093485734,0.054045926,-0.006890903,0.055018621,0.080557452
2000/7/31,-0.143101907,0.106111446,-0.081187916,0.187061265,0.00757212,-0.05939803,-0.072714934,0.132829451,-0.229226672,0.113118869,-0.066211083,0.139895648,-0.008220371,-0.013189062,-0.000397393,-0.02712781,0.07478747,0.192380564,0.242445886,0.092334472,0.013242952,0.118371378
2000/8/31,0.035251968,-0.013680797,-0.097732763,0.303731039,-0.092636191,-0.140821018,-0.05501129,-0.130671227,-0.007945757,-0.062643993,0.143158259,0.076481468,-0.047568672,0.112538201,-0.065199055,0.199166922,-0.007386768,0.072979044,0.161220027,0.106185031,0.008086637,0.134959793
2000/9/29,0.030663796,-0.024714799,0.166498178,0.077496227,0.143770085,0.006324846,0.237865097,0.078082042,0.016575475,0.151114467,0.099173246,-0.030809695,0.040032804,0.044594467,0.090108184,0.029416157,0.05606189,-0.057905339,-0.025874519,0.052215372,0.140490822,0.153997926
2000/10/31,-0.022645445,0.209525246,0.043286336,0.281563312,0.03378581,-0.119228189,-0.017400591,0.134323704,-0.092495633,0.256714382,-0.112707808,0.28900796,-0.079971051,-0.117168649,-0.071849353,0.161217505,0.098001298,0.576811658,-0.000436013,0.430186395,-0.083024359,0.146024531
2000/11/30,3.05E-06,-0.005506824,0.016542515,0.376747207,-0.181264367,0.038594864,0.049786526,-0.122490756,0.053647885,0.313617444,-0.160306566,0.09747695,-0.128595799,0.012113668,-0.025680395,0.170079796,-0.02114451,0.500273935,0.156460911,0.457735217,0.202451729,0.013533159
2001/1/31,0.050695054,0.033442353,-0.060024655,-0.02979594,0.263782013,0.113645846,-0.051539394,-0.003041805,0.019014729,0.006341282,-0.183638672,-0.095518729,0.166081765,0.032916771,0.004861995,0.06009077,0.066543092,-0.091861929,-0.082456209,-0.009904648,-0.065993072,-0.116822737
2001/2/28,-0.135261049,0.237996846,0.023458038,0.238368935,0.017198989,0.024576967,-0.268573252,0.069788833,0.009430732,0.120388599,-0.106593429,0.106162547,-0.05772352,0.162696984,0.033605267,0.171429917,0.181430122,0.602035459,0.056278748,0.557286324,0.063485384,0.435330528
2001/3/30,0.171414714,-0.166217479,0.046159661,0.003570156,-0.036745441,0.034210566,0.268857044,-0.121627618,-0.061633405,-0.058502157,0.174844392,0.067909564,-0.025281617,0.073638757,0.008691825,0.123454674,-0.146726222,-0.336149564,-0.062184409,-0.195322757,-0.281301383,-0.255259258
2001/4/30,0.066854334,-0.25445613,-0.129911794,-0.266515038,0.120470448,-0.141894723,0.013896312,0.065789455,0.034154039,-0.203167862,0.11337771,-0.098557631,-0.045326235,0.082757272,0.043660977,0.024176573,-0.292416744,-0.222257855,-0.100565309,-0.189785685,-0.22908746,-0.120168847
2001/5/31,-0.152687243,-0.301785878,0.107905367,-0.153125946,-0.022830462,0.064986017,-0.043040058,-0.04990706,-0.146517509,-0.079851337,0.161313743,-0.19139426,-0.027387039,-0.074439306,0.160953461,-0.112901276,-0.233010736,-0.479632997,0.093118214,-0.341474292,0.065300437,-0.32493138
2001/6/29,0.101206231,0.16244247,0.043733262,0.301186171,-0.19548546,0.064022215,-0.14845682,0.132893238,-0.069081697,0.09222911,-0.281277488,0.214331088,-0.007437644,0.019646064,-0.042731536,0.222394031,0.040183704,0.39653145,0.007899437,0.437223922,-0.154599434,0.450713586
2001/7/31,0.096455665,-0.06775123,0.11579661,-0.01646376,-0.003376987,-0.08426263,-0.173551833,-0.031860212,0.175000298,0.017064218,-0.116604953,-0.005528593,0.01119046,-0.048864666,0.078384271,0.038274496,-0.240787926,-0.08256863,-0.009879758,-0.009233918,-0.082897305,-0.053584415
2001/8/31,0.170786239,-0.035810607,0.062714915,0.195612819,0.083127532,0.044384297,-0.090341677,-0.114557191,-0.026494429,0.024499284,0.208147578,-0.019249437,-0.063417533,0.03514576,0.093488115,0.25989263,-0.030368854,0.273789617,-0.039640094,0.214395146,0.013567619,0.064176699
2001/9/28,-0.234676432,-0.176951206,-0.082385728,-0.0425082,0.111465199,-0.095233389,-0.259801623,0.06597308,0.006520181,-0.032616216,-0.021054047,-0.193684623,-0.075811166,0.053695392,0.147395964,-0.168469397,0.310870755,0.014737479,-0.061447276,-0.073282051,-0.225664817,-0.060703719
2001/10/31,-0.08372124,-0.165884037,0.1035073,-0.216907191,0.131617744,0.072921618,0.006304188,0.236934694,-0.07478296,-0.069096138,0.057199378,-0.172578089,-0.033201926,-0.230656338,-0.070752831,-0.238045369,0.181778571,0.027349093,-0.154256647,-0.109261818,-0.05482771,-0.195830506
2001/11/30,-0.162412338,-0.285687534,-0.057665189,-0.453375046,0.079712352,0.26412285,0.037033405,0.256063123,0.010076454,-0.395709939,0.045772995,-0.216334222,0.117714823,-0.075091174,-0.00445152,-0.482437035,0.140829792,0.018387806,-0.030295343,-0.195864084,-0.047989294,-0.444176099
2002/1/31,-0.11923126,0.031555262,-0.424752882,-0.034885427,0.104807923,0.168442853,-0.06439808,-0.051638762,0.10539011,-0.058770917,-0.105699543,-0.206579521,-0.01520333,0.006665242,-0.191055847,0.131895316,0.181682684,0.06025291,-0.188975815,-0.008802967,-0.009360704,-0.177737408
