Date,eps,eps,sps,sps,prof_mar,prof_mar,roic,roic,ninc,ninc,cf,cf,sg,sg,mom,mom,cfni,cfni,art,art,leve,leve,quick,quick,a_turn,a_turn
2006/9/29,-0.132369994,0.07793015,0.037590331,0.131661441,-0.029881082,-0.031315455,-0.073218046,-0.06150479,-0.175610275,-0.192803665,-0.103161712,0.090469436,0.012273719,0.091795855,-0.124804662,-0.29763517,-0.031984811,0.048376263,0.073132536,0.316529559,-0.009679998,-0.106951754,-0.053370687,-0.029204068,-0.033971774,0.057161827
2006/10/31,-0.057115062,0.186856855,-0.011441983,0.058892869,0.041262565,-0.004908319,0.065840311,0.004027709,0.153482197,0.024644869,-0.086286676,0.062042924,0.025617659,0.144058676,0.117479007,0.054789989,0.044330086,0.042172969,-0.140785764,0.049083869,0.110128797,-0.112824358,-0.219434396,0.02872333,0.00646042,-0.026228711
2006/11/30,0.163225116,-0.041652919,0.101461141,-0.012109002,-0.06346156,-0.072940598,0.144910107,-0.012552134,0.017316931,-0.002489841,-0.0537314,-0.045663751,-0.027797032,0.096135048,-0.267745436,-0.167727648,-0.127930226,0.133107896,0.215836206,-0.303541445,-0.033333028,-0.014499393,-0.056020338,0.112336107,0.092966721,-0.092096546
2006/12/29,-0.095232405,-0.268189348,-0.285610766,-0.081643345,0.098503677,-0.071643,-0.118362578,-0.276439844,0.067325277,0.090300472,-0.060676276,-0.007968207,-0.047524617,-0.093245443,0.186840954,0.039939519,-0.074578485,0.177679095,-0.050380491,-0.102283875,0.140138482,0.061691655,-0.056831825,-0.135379497,-0.310690558,0.040785983
2007/1/31,0.162418002,-0.049811409,-0.050367032,-0.000297881,-0.00996137,0.064339598,0.076708211,-0.10468266,-0.032829525,0.122794617,-0.060689786,-0.092269413,0.001382232,-0.093531881,0.017167085,0.066651414,-0.037000073,0.122119044,-0.019147777,-0.070542439,-0.077177363,0.124070752,-0.170410738,-0.04591648,0.160974455,-0.053072502
2007/2/28,-0.117930572,0.099793428,-0.206699525,0.105687654,0.081397169,-0.003200904,0.080910519,-0.107253223,0.007019356,-0.082126904,0.050606531,0.065806921,-0.095775349,-0.051093819,-0.144114137,-0.166979294,0.004664937,0.062127463,-0.037963173,0.098851516,-0.13550471,0.017708891,-0.07417427,0.020495046,0.080442993,0.096231574
2007/3/30,0.128126436,-0.049611814,0.104311719,0.015290988,0.228321204,0.014485021,0.151235926,-0.350401632,0.041942956,-0.14624335,-0.003629323,0.072079762,0.026129325,-0.027684571,0.086647471,0.174185519,0.034892758,0.294245617,-0.064061115,-0.047828219,-0.130529607,0.086454913,0.105940616,-0.036778431,0.022742414,0.062553979
2007/4/30,0.041497702,0.024956139,0.143912885,0.05899869,0.071179427,0.067977325,0.052029372,-0.09714688,0.166288964,-0.001750714,-0.052231657,0.113278434,0.169998171,0.009870823,0.087739152,-0.043148951,-0.066580751,-0.03830029,0.044586593,-0.012478057,0.042882047,0.133308433,0.038789905,0.184380868,-0.093675424,0.00138209
2007/5/31,0.169088487,0.039688713,0.188004596,-0.225395598,0.151672727,0.147234845,0.109009896,-0.030994587,-0.143142097,0.054104545,-0.057074455,0.082434763,0.044834564,-0.127760861,0.101508615,0.149990613,0.119861319,0.058387385,0.004305839,0.038496608,-0.097689258,-0.077190815,-0.080556815,-0.112001939,-0.039559314,0.002836352
2007/6/29,0.23888694,-0.007913419,0.08358748,-0.032592615,0.002306104,0.12197169,0.025754396,-0.018618405,0.184880012,-0.043103174,-0.194747784,0.064998987,0.114669102,0.081564488,0.159490892,0.111845455,-0.028901228,-0.109443211,-0.020579109,-0.060160922,-0.118396819,-0.135386938,0.357408327,0.033562744,0.013973501,0.093190493
