Date,pe,pe,pb,pb,mom,mom,cfni,cfni,art,art,leve,leve,quick,quick,a_turn,a_turn
1999/5/31,-0.208881397,-0.073359551,0.068570705,-0.289170497,-0.06585846,-0.200929666,-0.108994603,0.06637033,0.046730953,-0.122106248,-0.014192413,-0.05185973,0.060997776,0.058048056,0.260698621,0.043700472
1999/6/30,0.216093051,0.105942634,0.108634723,0.346709376,0.140401117,0.380132032,0.168293744,-0.064423592,-0.33226132,0.161420872,0.036774061,-0.267835057,0.256902103,0.172407927,-0.094625854,0.168067214
1999/7/30,0.066417964,0.069535891,-0.077374731,0.072049023,-0.044738262,0.125227359,0.003636055,0.060973813,-0.425544322,-0.122793681,-0.222969909,-0.05923029,0.079665827,0.169026241,-0.132666846,0.114439313
1999/8/31,0.246490438,0.222733709,0.041025215,0.124051855,0.10875175,0.149886911,0.16980248,-0.004014506,-0.035285048,-0.180874065,-0.120212311,-0.191083683,0.080556969,0.268270133,-0.044059544,-0.084395393
1999/9/30,0.157518577,0.103480224,-0.337249261,0.205952795,-0.058311711,0.085010022,0.24469902,0.012111927,0.326872719,-0.131946359,-0.091026554,-0.061837918,0.23957182,0.150254839,-0.100265702,-0.032504574
1999/10/29,-0.140498513,-0.041441817,0.155304228,0.200845685,-0.035630487,0.071886903,-0.049986135,0.115356052,-0.08447766,0.084539524,-0.063537671,-0.29049673,-0.070255109,0.314161013,-0.143605013,-0.187994707
1999/11/30,0.202981384,0.039390457,-0.020210338,0.216564411,0.154546996,0.429801761,0.094670756,-0.048460895,-0.107044775,0.07664026,-0.068877354,-0.35585656,0.266846585,0.430348843,0.060633477,0.344343483
1999/12/31,0.00664799,0.250725732,-0.129682092,0.079901375,0.129456554,0.565532225,0.06866348,0.167228427,0.038782698,0.000128093,-0.181920968,-0.256952572,0.114507474,0.399649505,0.216116775,-0.115945205
2000/1/31,0.013389304,-0.06594313,-0.142184788,0.102526952,-0.156714564,0.098287487,-0.025225554,-0.09229949,-0.122388973,-0.026886147,0.042901535,-0.080734997,0.110192152,0.114529929,-0.167260209,-0.022733842
2000/2/29,0.301945022,0.207967508,0.053022647,0.550698008,0.384815851,0.620142588,0.12402104,-0.09979314,-0.098321925,0.011710328,-0.237258474,-0.359450525,0.374860083,0.540014097,0.060550775,0.03322043
