Date,comgro
2004-12-31,0.12633530934021397
2005-01-31,-0.002706803419385664
2005-02-28,0.11581042055244672
2005-03-31,0.12839324626391363
2005-04-30,-0.0981707677089394
2005-05-31,-0.029204118267577052
2005-06-30,0.13109114969641564
2005-07-31,0.053037696127531266
2005-08-31,0.11714076116157636
2005-09-30,0.2170494872337392
2005-10-31,-0.023390857106156213
2005-11-30,0.18849131431903457
2005-12-31,0.06861699058405173
2006-01-31,-0.03147200641188761
2006-02-28,0.09668164143329663
2006-03-31,-0.08750855481639942
2006-04-30,-0.04581910823694936
2006-05-31,0.03858970796358339
2006-06-30,-0.06552461866533625
2006-07-31,-0.002558429859736234
2006-08-31,-0.06479231960921725
2006-09-30,-0.02744153283042854
2006-10-31,0.0022786209123593984
2006-11-30,0.11282715545684713
