Date,eps,sps,prof_mar,roic,ninc,cfo,cf,sg,mom,cfni,art,goodwill,leve,inv_turn,quick,a_turn,pe,pb
1994-11-30,,,0.005973444515216378,0.3617985076980592,-0.3002495261236071,,-0.11560576794447508,-0.4341518924427889,0.23312018972964382,0.15342868085701544,1.0,,-0.0728528436129693,,1.0,-0.011963893174463558,-0.9999999999999999,-0.9999999999999999
1994-12-31,,,-0.040116122247397946,-0.2905785763865227,0.3871609629886757,,-0.0567625937978638,0.23588343681482524,-0.3255372622878141,-0.054095178103678636,1.0,,0.07606021974233575,,1.0,0.3409622517367652,-1.0,-1.0
1995-01-31,,,0.055742318883105414,0.04480649809680439,-0.34074076713899015,,0.1295475533330731,0.09649105509449557,-0.165822947182396,-0.20707455990655857,1.0,,-0.11215362078393604,,1.0,-0.4080201651028558,-1.0,-1.0
1995-02-28,,,-0.08887977124393207,0.1825295899794062,0.32312008808939724,,-0.04129038916195329,-0.3796553951872587,-0.25300883491064324,0.014402859313847863,-1.0,,0.061302133053676,,-0.9999999999999999,-0.03512113398051022,1.0,1.0
1995-03-31,,,-0.40909800214642994,0.042345981656588,0.04611395039444194,,-0.495072212691663,0.23580617341507673,-0.017796798002517343,-0.2824842017339032,-1.0,,0.22816990940614343,,-0.9999999999999999,0.10728878810574558,-1.0,-1.0
1995-04-30,-0.004335089226997681,0.1958628321103527,0.24039727674711509,-0.479477792625286,-0.04539020671587552,-0.07616015215353124,-0.03331766025606562,0.3126254620620472,-0.0033347733584299,-0.22903164054896907,1.0,,0.5127379270308379,,-1.0,-0.20521441651887254,1.0,1.0
1995-05-31,0.27764471964461923,-0.23491297837186784,0.4543394950971089,-0.0930841776453881,0.17372448263562854,0.05508185475672294,0.03612670928889449,0.22746091967550752,0.10002830954584083,0.07247511735912912,-1.0,,-0.2264383158834452,,0.9999999999999998,-0.479810425704716,-1.0,-1.0
1995-06-30,-0.17484979430252276,0.15889699590890327,-0.05397740845721598,-0.1825468953193253,0.056755927468844024,0.5369457802608155,-0.12244591376273305,-0.0178305134835626,-0.297488804188137,0.10995466322846618,1.0,,-0.003974052293937542,,-1.0,0.15708987842330413,1.0,1.0
1995-07-31,0.07263004867712776,-0.025888915687736963,0.169631429952542,-0.06937934297053328,-0.1133579655540777,0.30183505559404916,-0.37218020655884,0.058399795386614134,0.019912682322174486,-0.18519697863193188,1.0,,-0.2722068165141524,,-1.0,-0.015881857757843787,-0.9999999999999998,-1.0
1995-08-31,0.07699763281683211,-0.43114508790950096,0.11548584223688771,0.23429562250682578,0.3396289559937353,-0.17630770560993542,0.35616409301231045,-0.4039530176390211,0.031241427277267992,-0.2647360901818696,-1.0,,-0.2171432027865242,,1.0,0.117798116986314,-1.0,-1.0
1995-09-30,0.5645130233961134,0.5166701021324767,-0.21803869101099757,0.09295603168136511,0.2715978410597727,0.19640857554300428,-0.0005270998263838734,0.16882486141568698,0.25380504798845993,0.13221517072678265,-1.0,,0.05106529026519132,,1.0,-0.10944258217008497,-1.0,-0.9999999999999998
1995-10-31,-0.15723592333233904,0.23875871646432512,-0.22761656488100826,0.0749482238293527,0.10021092302627553,-0.26146563515913496,0.12508687000909707,-0.05290860024312142,-0.29516384243811755,0.05944205372161721,-0.9999999999999999,,0.08501661965034227,,-1.0,-0.011611544832314212,0.9999999999999999,1.0
1995-11-30,0.2622889079483605,-0.1054485521452382,0.09876717135737613,-0.25092281633193936,-0.10934284186475,-0.1500683972814323,-0.11234418015874534,-0.058030453064065055,0.16024362496803488,0.1413822182499433,0.9999999999999999,,0.1538406912081465,,1.0,-0.13066282975123275,-1.0,-1.0
1995-12-31,0.13234831992932702,-0.24877579411669914,0.10334868240692503,0.1500071998700193,0.23435009274798285,-0.21538520945706027,0.4266103116123534,0.09783861653338684,-0.25358598987927805,0.06522485635340626,-0.9999999999999999,,0.32066395107964557,,-0.9999999999999998,-0.09464908051500605,1.0,1.0
1996-01-31,0.10555539882680852,0.3795221952237308,0.0290056100843795,0.06864656070690436,0.07805951606032692,0.12579211097862514,0.19804215745958323,0.02715237045216037,0.1307035480204885,0.19334909969282021,-0.9999999999999998,,0.14447086361498573,,0.9999999999999998,0.06053050739525644,-1.0,-1.0
1996-02-29,0.19644653375593513,-0.22724618056523627,0.06771858079568482,0.1420683508557649,0.052188537496886435,-0.3224201343959561,-0.2685644767632532,0.06170752201070841,-0.33403729816285543,0.22811547025058987,-1.0,,-0.4518653738374791,,0.9999999999999998,0.08371813362043762,-1.0,-0.9999999999999998
1996-03-31,-0.09838009766361708,0.05802934055465016,0.31499528588971437,-0.6687898568897591,-0.4517408220136553,0.6332385696599544,-0.0517499041111263,-0.25206531494742357,-0.22540862095529068,-0.2456950659888602,1.0,,0.2391802449671138,,-1.0,-0.2974366810759834,-1.0,-0.9999999999999998
1996-04-30,-0.4030650135799511,0.00862040996093483,0.09106775246944732,-0.15161487324533954,-0.11026257491419353,0.18612327492449907,0.16711929162230968,-0.2391658974342017,-0.2851140694638149,0.06579784570440886,1.0,-1.0,-0.0933297449737611,,0.020657081889183092,0.16253927488981512,1.0,1.0
1996-05-31,0.3057494602343509,0.4211326140957209,-0.2431057771257459,0.03091784485604694,0.15071299317645107,0.03476598863877958,0.1313098972705473,0.3157503985237247,-0.4965791776651731,-0.13691311683604407,1.0,-1.0,-0.08330801406954588,,-0.7018034166840588,0.24641656928147337,1.0,1.0
1996-06-30,-0.3113496847592108,0.20418629109264605,-0.20001318630110104,-0.08236212081825968,-0.34081276682306566,-0.07195099471740897,0.14604685881997018,-0.0581192386502069,-0.1681676335538062,0.2251584360720426,-1.0,-1.0,0.2780356317367585,,0.9912614813583426,0.0001336597646838936,1.0,1.0
1996-07-31,0.43218060734818176,0.2418130724235749,0.47515387417401767,-0.03281206144328359,0.013129933293498203,0.1171474504188769,0.12057149346496351,0.25586451045413583,-0.006730413033744718,0.019628771084943875,-1.0,0.2872624864960422,-0.09930752808561283,,0.7417686366640566,-0.4619186955912216,-1.0,-1.0
1996-08-31,0.40956973737414365,0.060410015046822876,0.2674786710023186,-0.4440703396684525,-0.10342020897035577,0.5614228633563759,0.19433408532105925,0.027196304619689235,0.35619134702465416,-0.019468186422613967,1.0,0.4595161737396462,0.10050077610652237,,-0.9590953787064828,-0.1125405246779087,0.9999999999999999,1.0
1996-09-30,0.4814692927689895,0.4762981644326919,0.053313523560528986,-0.34240634913189355,0.4779380467526282,0.19732946344501312,0.1112296262381169,0.43496797737709697,0.020384552267500397,-0.2520649641152815,-1.0,0.5695121994792127,0.16733755074486745,,0.11567388401186163,-0.152626826664968,-1.0,-1.0
1996-10-31,-0.09529125483380876,-0.11953090177099479,0.1558966867186479,-0.09608494809037495,0.21711492226922705,-0.3211121200695687,-0.2527280858479416,-0.24694609445088006,-0.10353461141438386,-0.1175717481443624,-1.0,-0.581450878612078,0.0768123061499996,,-0.5943032984323209,-0.03566924850273497,1.0,1.0
1996-11-30,0.01024113859937462,-0.13304634194397452,-0.1772341518811437,0.16143086071587462,0.027553228697859918,-0.31328586741524583,0.0887484338853049,-0.01746724727145497,-0.057578736765665835,-0.09630182586523327,0.9999999999999998,-0.9519167694027115,-0.019660837075754237,,0.9005209345843085,-0.4535776467948906,-1.0,-0.9999999999999999
1996-12-31,0.48903800576169504,0.08197302569956309,-0.13827994240986058,0.2121966451432413,-0.2359626892602875,-0.2567974442105036,0.06441895368169565,0.2337366782902898,-0.05593491642935141,-0.21469962713035062,-1.0,0.24853838817145993,-0.1767765835105146,,-0.9040328777587009,0.0537518492720307,-0.9999999999999999,-0.9999999999999998
1997-01-31,0.09857514409100862,0.1975059038122161,-0.22635176358018944,-0.10668015277734533,0.08228277897245885,-0.2236249851148298,-0.1250895489335945,0.19610687589644946,-0.02986172989900964,0.12267634966289846,-1.0,0.5645281769042928,0.033047402559249046,,-0.9630507053562297,0.07510641020235166,-0.9999999999999999,-1.0
1997-02-28,0.18692636492592887,-0.5956483194015868,-0.08168282579493082,0.14523669792110994,0.20725913529507672,0.5287620647907737,0.11259574963863933,-0.40852647395751346,-0.5037126913213954,-0.0298132002547336,1.0,-0.4885026498681815,-0.2328174409799521,,-0.38020498230616295,0.00411872773008032,-0.9999999999999999,-0.9999999999999999
1997-03-31,-0.039650797451717866,-0.2501758259711652,0.19858104745593366,-0.028059301086914873,0.2882429661562028,0.4140776671027125,0.3046624669856017,-0.07206500942239868,-0.46903923702219,-0.03759520638700813,-1.0,-0.3843257445742866,-0.20593864670770767,,-0.9797780862805444,0.3402413472693773,1.0,0.9999999999999999
1997-04-30,-0.0669556317445367,0.4570113902578921,-0.18314623278647366,0.17690557376009178,0.1527000122137941,-0.2029413192591394,-0.2431013195258949,0.1899484556770363,0.13172095711716836,0.09310379033904621,-1.0,0.7412674530803315,0.258117729856138,,0.9898636027236689,-0.0690715648222524,-1.0,-1.0
1997-05-31,-0.2166007728080988,-0.24279346552143508,0.025752279715003906,0.5444051713219774,0.14642288893999902,0.20100448807561425,-0.007501749302916156,0.1084025857827062,-0.35657387181389905,0.2519445295074263,-1.0,0.16385063678976064,-0.1448202240010434,,0.9843377087451087,0.37005293759673674,1.0,1.0
1997-06-30,-0.08524247807396894,0.1366470760954872,-0.05594557974135945,0.18376390535426113,-0.0802730889140526,0.14994799970786724,-0.20261143510634627,0.030614645711773806,0.335257509716405,0.06299746495224638,-1.0,0.35133051288844336,-0.09260960107136815,,-0.16884058404823168,0.2683270603020121,1.0,1.0
1997-07-31,0.22903059135578788,0.10366691481610295,0.012892116723763484,0.02222516416181765,-0.1387965376435863,0.005330032825252053,0.2891706399817689,0.26705312887535115,0.13481517576143795,-0.13517757004524045,1.0,-0.06949664513888541,0.027922361792065285,,-0.9912753694331276,0.027044326258013753,1.0,1.0
1997-08-31,-0.22890183202192865,-0.43864238478557666,0.21632379434700225,-0.08055974803913277,-0.15336137430987154,-0.2914260049453229,0.0779330683907386,-0.29493445741403196,-0.42241641469495256,-0.18996206145631786,1.0,0.004750694344957087,-0.045506993836150006,,-0.32065040196257794,-0.24655917811623507,-0.9999999999999998,-1.0
1997-09-30,0.19754165416505665,0.3183150837114919,0.14828212437903132,-0.04053415846146717,0.02527566894562119,-4.285188482541685e-05,-0.1321406841845664,0.22630812908746153,0.04588069296024207,0.07286852228868552,-1.0,0.05482563099929629,-0.05882329961309743,,-0.5609534358058792,0.10393988288694628,1.0,1.0
1997-10-31,0.04494535851276318,0.07107983941214935,-0.05135226910760403,0.0423716815111061,0.02955145712497188,-0.09974782156620858,-0.09512586162633337,-0.2959727903268395,-0.23335551416367334,-0.2496518918227352,-0.9999999999999998,0.7392663099487138,0.0590469064622382,,-0.3993316245249668,-0.054354055355884084,1.0,1.0
1997-11-30,0.26406355193782516,0.040093667385672035,0.16592721759781787,-0.12371294902597886,-0.004560189979851602,-0.15817100699095768,0.1097003919300154,0.19713681112184328,-0.25614914094795305,0.21909857100368052,-0.9999999999999998,0.4088430020632679,0.04246875403161461,,-0.024194400239311086,-0.21473578550902644,1.0,1.0
1997-12-31,0.04209541464477312,-0.17449568881499067,0.11102992824159744,0.30885425530160265,0.22830796817520702,-0.17356911444600018,-0.009318845346636625,-0.34890884402514655,0.11265873666958666,0.11222168825303158,-0.9999999999999998,-0.23835468109229405,-0.2706687700231251,,-0.7600224017651613,0.06284417033264808,-1.0,-1.0
1998-01-31,0.19703477753149776,0.3469048340672081,-0.05201807078057425,-0.052666900505270016,0.13078497521967222,0.288081187173437,0.5254251943467559,0.016123902380721502,-0.3158928998166164,0.13742929891023714,0.11881297521010897,-0.23839367320962523,0.4535151919564891,,0.0232365877052205,-0.03592840321633606,1.0,1.0
1998-02-28,0.1251622205336947,0.0636872894216002,-0.05617628286731568,-0.03992159824061735,0.1824521335379735,0.10126412472589091,0.2797440068400015,0.040447089809570014,-0.23296931336433807,-0.29900427790281575,0.7557051271028276,-0.10876209905780831,0.22591383821901456,,-0.6551620845567325,0.0519987936620234,1.0,1.0
1998-03-31,-0.012351651284370034,-0.16014386748852402,-0.12184449720793782,-0.045683225583609266,0.03186907074226066,0.15551935620185658,-0.1472399887800758,0.1448333814833379,-0.4690015069678208,-0.16932863996829356,-0.9710968195056747,-0.6307475593195453,0.16044373180532703,,0.9951351328574993,-0.15384376674116496,-0.9999999999999998,-1.0
1998-04-30,0.16087841848085885,-0.23135245313188496,-0.055303239185597534,0.07372269738387324,-0.007695408017292037,-0.11687317369117735,0.011335170863030765,0.02424341604219617,-0.17106772409805227,0.09029306161591205,0.8245520444439703,-0.8651055184617061,-0.14167395463116622,,-0.4327152735656768,0.07089333409865005,-0.9999999999999998,-1.0
1998-05-31,0.1314146577247555,-0.2587958578987033,-0.06235349908693355,0.13849220400127826,0.06894449320939983,-0.04347168347829471,0.018893639050575988,0.19075091700534078,0.31141937009052656,0.011524693984456177,-0.15104813497051703,-0.552184268036362,0.12669995631320868,,-0.3618755921728943,-0.04679518105442068,0.9999999999999999,0.9999999999999999
1998-06-30,0.12346700423267944,0.22139218429888052,-0.20835744817658136,-0.09299183393938006,0.12871479474678418,0.0023969436113591117,0.23990605989137853,-0.04480103302395203,0.4054302998685849,0.13756449101285115,-0.9891909773884136,-0.20325771760025174,0.1225987750888058,,0.7843981796992572,0.021704315910837747,-1.0,-1.0
1998-07-31,-0.09030389855082063,-0.26346478407561524,-0.18114011373997452,-0.11214013148699334,-0.08017570964250659,0.10011626867069184,-0.09334333700657758,-0.12022991382298323,-0.09539677763547176,0.06902905197651106,0.9999814553603812,-0.5781195321315212,0.06869052763598349,,-0.8303393306504911,-0.26793563127392545,1.0,0.9999999999999999
1998-08-31,-0.323189885896528,-0.13453374095048173,-0.007170988856173506,0.20752485001417437,0.00785775209574137,0.11145357617326518,-0.07457362745308704,-0.03382533961304654,-0.48400888800814745,-0.18403021532512348,-0.5368458972549403,0.3250373847011537,-0.4326915129171304,,-0.03047123943372679,0.16296392065643742,1.0,1.0
1998-09-30,0.19648527125736776,0.2624534428004199,0.04880018912690152,0.07133684768930548,-0.1237056451442326,-0.030153746464690996,-0.16589068081590966,0.03675910954767869,0.035572300875153215,-0.2848788200448426,0.18462082209673844,0.4409729480256599,-0.2009355426724906,,-0.705307012166772,0.0007377754256532462,1.0,1.0
1998-10-31,0.2864551069607316,0.21371757857775553,-0.019617351076363136,-0.19601198745154336,-0.08655046614215989,0.025630060602925255,-0.04521840807110193,-0.40218097733432534,-0.4857645062840847,-0.22036413033806856,0.9032551416157901,0.1012197248828201,0.3544065905936099,,-0.9722797732025142,0.03904152685840418,-1.0,-1.0
1998-11-30,0.056173691606188535,0.11816367800797935,-0.15487260005467157,0.004302109488005016,0.05787586609039974,0.13137914794663028,0.036948252615003584,0.4355194428521016,-0.30342866697252946,-0.39389975046425957,0.9953410871543528,-0.7904522814320853,0.24361717549375692,,-0.9541283405932169,-0.015540365158626245,-1.0,-1.0
1998-12-31,0.4235937664896071,0.19006646579004544,0.08526630563201971,0.03712722643494137,0.3174867307696198,0.31152581040224087,-0.03985131499027018,0.30312948239287885,0.7228073507808801,0.218784301297567,0.4297322740717403,-0.3668685463054138,-0.0576476915792683,,-0.6065320453266018,-0.06756468207037208,1.0,0.9999999999999998
1999-01-31,0.046530641445361925,0.10724460837076769,-0.08471580560559791,0.08456257516134905,0.03674324059629625,0.3915316465184762,0.11028516533982406,0.2773905151190498,0.15085218163144154,0.3060095556680601,0.9960894763185881,-0.21089328944169752,0.29818606444122964,,-0.8028533177600501,-0.05166118215713018,1.0,1.0
1999-02-28,0.2160079282065239,-0.2584752385768096,-0.10339844171004957,-0.31169096632009996,-0.12545933568191478,-0.016390998331331993,0.10568555068902755,-0.36843721716303934,-0.0008650586113567399,0.019724159850679455,-0.5935780574472498,-0.001553473058754877,-0.09212047125125222,,0.08512959869967862,-0.013565656779406987,-1.0,-1.0
1999-03-31,0.17699285719553598,0.26538263933415773,-0.25271828472196906,0.13152794546798466,0.051913580415236034,0.18178123359678144,0.07491565229656351,0.13461018877485006,0.4197212967748779,0.32679605681341917,-0.6669961694178755,0.07107053148408461,0.1358317851038425,,0.17893606865159603,0.042917658800882295,-1.0,-1.0
1999-04-30,-0.15365112941288797,0.30397136412606984,0.2108780903115154,0.169463814611504,-0.12044408684080915,0.30698761415238757,0.02126221777607799,0.05145553655117323,-0.030328711459661612,0.13653742853078477,-0.989002197217231,0.2543311230741243,-0.18393518137454432,,0.8226108601078488,0.17599591776445114,-1.0,-1.0
1999-05-31,-0.10187449978645025,-0.1045930604879925,-0.16876312428256332,-0.1255199646871828,-0.19714424475290754,-0.18897083757314542,0.02400141632984846,-0.5228031195726538,-0.37181310785878635,-0.014418783054876412,0.19094718195671626,-0.02708320155144296,-0.20821314436583,,-0.6039838877740502,0.06373417052241587,1.0,1.0
1999-06-30,0.32707773746202096,0.08786655560887567,-0.03346575556495957,-0.20420085897265228,0.4005823730229587,0.0660215152429017,0.07824919489658635,0.02024035612196706,0.19434079302242072,-0.1251894262042641,0.9941230040942042,-0.2229436845363245,0.33106690640458525,,-0.9400926573832205,-0.11074149174417149,-1.0,-1.0
1999-07-31,-0.10134823811912884,-0.04651715547986454,0.23347871874289544,0.15277966821785838,-0.130179593558672,0.0022763166319177417,0.15004712628262665,-0.13903934988540778,-0.3604288374069802,0.09806855067917876,0.8236287889376577,0.3935478371126977,-0.173985547358169,,-0.47006584217324476,0.07971015254796472,-1.0,-0.9999999999999998
1999-08-31,0.355166309967335,-0.1909734504059766,0.31374950241287064,-0.5728394830388565,0.2644802733785652,-0.16581720258215166,-0.09821522609379782,-0.290860320144789,-0.051327495286239526,-0.21574349816664776,0.8669625258706027,-0.16882163063756814,-0.0013422791612543229,,-0.9990624103323397,-0.15954856990348876,-0.9999999999999998,-0.9999999999999999
1999-09-30,0.270273701681848,0.238865706892234,0.2756432901724113,-0.40584629709281694,-0.07238945412534555,0.10215020014014733,-0.02714312239056005,0.12589337732039824,0.09007379705819199,0.03142610887935847,0.9997915857554193,-0.02737599836428873,0.5278137537867418,,-0.8781421781899336,-0.2486951266555761,-1.0,-1.0
1999-10-31,0.24737505887235797,0.22385835475008195,0.15040152879855967,0.27290980067035214,0.021549696047990476,0.2706621429056848,0.22037748685700725,0.24310783353299917,-0.0678843567712723,0.19878382997202326,-0.4658789461167722,-0.05431289811335893,-0.06323943493458861,,-0.06540442406298157,0.24064589314899185,0.9999999999999998,1.0
1999-11-30,0.4071134596865133,-0.014776570081778498,-0.16589921487734052,-0.19802781522736582,0.19408728592487146,-0.149804324255171,0.1378100135868341,-0.3035296876570943,0.27127660587074526,0.030239464466627078,-0.33474454528873215,-0.13215648976127056,0.06272859091283219,,0.7779602983033145,0.042261416081673796,-1.0,-1.0
1999-12-31,0.3076603042806753,0.35373649004109714,-0.11005887071645407,0.161967409873373,-0.05558226878916542,0.009325304265031864,0.07206527930677743,0.26627830436388406,0.34998739794198247,0.12245156060956183,0.5853045491692799,0.08853114548438554,0.017228875870431308,,-0.07510599949259977,0.3413393999300386,-1.0,-0.9999999999999999
2000-01-31,0.2909901432557309,-0.06065694885281513,0.15796269739532307,-0.13357263502362768,0.10430601554371881,-0.24618044546943846,-0.14620215871379905,0.011966398995204203,0.03762029050709377,-0.1683815204931056,0.9966630636666772,0.4853480683846796,0.015343618313050988,,-0.9969271622192946,-0.021211018464712253,-1.0,-1.0
2000-02-29,0.2212422220114111,0.1964639738300644,-0.02158604267074542,-0.5818937373947828,0.19192070686719523,0.22193043791587888,0.20147776648408416,0.25375861390360555,0.26249572713962466,0.012025935379295603,0.5011087558625782,-0.19391275124763677,0.31273341089630563,,-0.3567144209886385,-0.05726949474116847,1.0,1.0
2000-03-31,-0.18210327283007507,0.1677750317162079,-0.13568874872220144,0.21489097615623812,-0.16689213539198708,0.0820362645471552,0.16191830951735237,0.1306946547293968,0.007659663797539642,0.2185743106064547,-0.5262330747867418,0.1578533605624377,-0.24280163114939782,,0.3839160285745427,-0.009833993140972682,-1.0,-1.0
2000-04-30,0.05933142877929659,-0.1606854236612477,0.014199275044022361,0.1407524620525686,-0.02088063723887045,-0.1598282476166269,-0.22994267698206067,-0.36488913617816177,-0.26676372077885924,0.03557584112772642,0.8203467934161696,-0.19012656539499823,-0.05010532884293175,,-0.8961902534383303,0.08257182653841577,-1.0,-1.0
2000-05-31,-0.6528455808017669,-0.31293333221306635,-0.023657069566648873,0.1789128898743071,0.05424677874054539,-0.06218707008986458,-0.2516132832216761,-0.39326525623172104,-0.5420612643690871,0.13448786354914502,-0.9732154894879965,-0.18041245489486013,-0.23339213950063067,,0.9965674162170027,-0.07959855772654253,-0.9999999999999999,-1.0
2000-06-30,0.5769474543826613,0.3892174447360375,-0.1441965487867994,0.026823650449314163,-0.02426702911931594,0.14057780968977562,0.38919364856465694,0.5088628708380202,0.4406234614164657,0.046368976202923476,0.9305321613790642,0.12384250363150921,0.10386358145708417,,-0.9746055803436489,0.26102933940625,-1.0,-1.0
2000-07-31,0.33984859609712925,0.11890430539706812,-0.04284385784467666,0.21550047375366646,0.10530994031601298,-0.04395898231293663,0.03874885441614096,-0.04876699742867942,0.002923648551998843,-0.2856787349194295,-0.47408251912468524,0.27619258360449045,-0.07575001161513288,,0.6358789726958429,0.029817432692683332,0.9999999999999999,1.0
2000-08-31,-0.010059671171823274,-0.29826646562143505,0.0824610536112644,-0.24686873609431131,0.14486782650462202,-0.24196972924669732,-0.34632460191967995,0.08165337508948632,0.17076140558901276,-0.17942762917383848,-0.3104202603863519,-0.2779790257214128,0.2088699828458834,,0.12011920233449158,-0.23881228180034786,1.0,0.9999999999999999
2000-09-30,-0.01785033333072701,0.22710640722614037,-0.05351877040558315,0.10112219673895363,-0.03730076443925148,-0.1458567058278529,0.14257881394319888,-0.138695590989964,0.0453287629570845,-0.014037288121562592,0.10846229542523637,0.15727325288345126,0.3050480511950986,,0.08644104660718736,0.06806702447849813,-1.0,-1.0
2000-10-31,-0.3692875651374939,-0.1341176680253715,-0.008515280127006726,0.010200345826771422,-0.08865623236844816,0.2589899861211286,-0.09577720963528441,-0.35310882500758567,0.038878656247589224,0.045743673527382595,-0.9714335432052834,0.0421730545499981,-0.16825784819763193,,0.3463807849801791,0.08103433892479077,1.0,1.0
2000-11-30,-0.3738219774882917,-0.2493637369924762,0.14215893282601688,-0.10673053437912,-0.16768808536791235,0.16765099309980178,-0.11335859682369889,-0.2968794743096848,-0.023293588608818708,0.07317356984596163,0.42304179500036027,-0.4910759744183744,-0.03660835120593313,,-0.9569803268150203,-0.41562011827263917,-1.0,-0.9999999999999998
2000-12-31,0.21117540493500764,-0.06183858401095083,0.02968370141407319,-0.20653885160523242,0.0761435990516958,-0.08440515392913893,-0.06312281582746133,0.36321737280597516,-0.15133939453864856,-0.0746516910897148,-0.3933295141055745,-0.021070813469838395,0.3089146682264785,,0.8808248027621206,-0.13676572954854563,-1.0,-1.0
2001-01-31,-0.06038228481442471,-0.31633896523160676,-0.024695678577095936,0.10550504669793008,-0.11569182276277276,-0.16659991414983896,-0.34868242387553094,-0.08166275702359789,-0.4707762836822133,-0.2450705165116161,-0.18715812213411115,0.13519882963724178,0.06622112987307036,,-0.06969904308245489,0.10988311739199712,1.0,0.9999999999999999
2001-02-28,-0.3346559424660341,-0.22472805966026127,0.17293901430742128,-0.07400611769772962,0.21985206796216308,-0.09668738767551918,0.11306463187186555,-0.1211438224769714,0.4671329590986695,0.2430170198999763,-0.31709235898325877,-0.13255411023668512,-0.029593374498391754,,0.6158341715921931,-0.08023754909790567,-1.0,-1.0
