Date,LOW/comqual/size,HIGH/comqual/size
2000-05-31,0.045474174650608934,-0.052610919064479275
2000-06-30,0.20695074565169125,0.003929486727804552
2000-07-31,-0.13130152058391456,-0.041075238600782674
2000-08-31,-0.13863849666942324,-0.1413099083848184
2000-09-30,0.09598070905334528,-0.030480552155009156
2000-10-31,0.10177778668983169,0.18646783845864545
2000-11-30,0.00031110813591093576,0.06294544724744507
2000-12-31,0.0506199720234426,0.04139168853333615
2001-01-31,0.012329153390165423,0.1264391653241908
2001-02-28,0.11556512638423624,-0.04738266710647815
2001-03-31,-0.10039000891542073,-0.11997738222277085
2001-04-30,0.15639467015457134,-0.010537405978609454
2001-05-31,-0.06934726320708126,-0.0638171681091855
2001-06-30,0.11352032635062731,-0.05873770487082523
2001-07-31,0.26535355034981767,0.012288605089327697
2001-08-31,0.1847310435169434,-0.04117530967806012
